Precinct,Voters,Nearest VSPC,Distance to Nearest VSPC (mi.),Assigned VSPC,Distance to Assigned VSPC (mi.),Distance Difference (mi.),Reassigned,Voters Assigned,Precincts Assigned,Address,City,State,Zip,Precinct Map URL
508,776,Aurora Center for Active Adults,0.62,Aurora Center for Active Adults,0.62,0.00,False,10428,10,30 Del Mar Cir,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_508.pdf
509,662,Aurora Center for Active Adults,0.46,Aurora Center for Active Adults,0.46,0.00,False,10428,10,30 Del Mar Cir,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_509.pdf
510,686,Aurora Center for Active Adults,0.75,Aurora Center for Active Adults,0.75,0.00,False,10428,10,30 Del Mar Cir,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_510.pdf
511,989,Aurora Center for Active Adults,0.93,Aurora Center for Active Adults,0.93,0.00,False,10428,10,30 Del Mar Cir,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_511.pdf
513,931,Aurora Center for Active Adults,1.23,Aurora Center for Active Adults,1.23,0.00,False,10428,10,30 Del Mar Cir,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_513.pdf
528,627,Aurora Public Schools Educational Service Center 4,0.34,Aurora Public Schools Educational Service Center 4,0.34,0.00,False,1480,2,1085 Peoria St,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_528.pdf
529,853,Aurora Public Schools Educational Service Center 4,0.26,Aurora Public Schools Educational Service Center 4,0.26,0.00,False,1480,2,1085 Peoria St,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_529.pdf
548,462,Aurora Public Schools Professional Learning & Conference Center,0.37,Aurora Public Schools Professional Learning & Conference Center,0.37,0.00,False,1000,2,15771 E 1st Ave,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_548.pdf
549,538,Aurora Public Schools Professional Learning & Conference Center,0.33,Aurora Public Schools Professional Learning & Conference Center,0.33,0.00,False,1000,2,15771 E 1st Ave,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_549.pdf
531,973,Beck Recreation Center,0.38,Beck Recreation Center,0.38,0.00,False,5346,5,800 Telluride St,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_531.pdf
539,1071,City of Aurora Municipal Center,0.67,Beck Recreation Center,2.82,2.15,True,5346,5,800 Telluride St,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_539.pdf
546,1065,Beck Recreation Center,0.09,Beck Recreation Center,0.09,0.00,False,5346,5,800 Telluride St,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_546.pdf
547,1164,Beck Recreation Center,0.61,Beck Recreation Center,0.61,0.00,False,5346,5,800 Telluride St,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_547.pdf
558,1073,City of Aurora Municipal Center,1.10,Beck Recreation Center,3.16,2.05,True,5346,5,800 Telluride St,Aurora,CO,80011,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_558.pdf
126,965,Bemis Public Library,2.09,Bemis Public Library,2.09,0.00,False,18494,18,6014 S Datura St,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_126.pdf
141,471,Bemis Public Library,1.66,Bemis Public Library,1.66,0.00,False,18494,18,6014 S Datura St,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_141.pdf
142,942,Bemis Public Library,1.30,Bemis Public Library,1.30,0.00,False,18494,18,6014 S Datura St,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_142.pdf
143,1494,Bemis Public Library,0.77,Bemis Public Library,0.77,0.00,False,18494,18,6014 S Datura St,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_143.pdf
144,835,Bemis Public Library,1.07,Bemis Public Library,1.07,0.00,False,18494,18,6014 S Datura St,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_144.pdf
146,825,Bemis Public Library,1.19,Bemis Public Library,1.19,0.00,False,18494,18,6014 S Datura St,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_146.pdf
147,1493,Bemis Public Library,1.43,Bemis Public Library,1.43,0.00,False,18494,18,6014 S Datura St,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_147.pdf
149,1462,Bemis Public Library,0.74,Bemis Public Library,0.74,0.00,False,18494,18,6014 S Datura St,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_149.pdf
150,1247,Bemis Public Library,1.11,Bemis Public Library,1.11,0.00,False,18494,18,6014 S Datura St,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_150.pdf
151,932,Bemis Public Library,1.20,Bemis Public Library,1.20,0.00,False,18494,18,6014 S Datura St,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_151.pdf
152,839,Bemis Public Library,0.73,Bemis Public Library,0.73,0.00,False,18494,18,6014 S Datura St,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_152.pdf
153,1476,Bemis Public Library,1.15,Bemis Public Library,1.15,0.00,False,18494,18,6014 S Datura St,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_153.pdf
154,1172,Bemis Public Library,0.54,Bemis Public Library,0.54,0.00,False,18494,18,6014 S Datura St,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_154.pdf
158,926,Bemis Public Library,0.91,Bemis Public Library,0.91,0.00,False,18494,18,6014 S Datura St,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_158.pdf
159,825,Bemis Public Library,1.14,Bemis Public Library,1.14,0.00,False,18494,18,6014 S Datura St,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_159.pdf
160,902,Bemis Public Library,1.51,Bemis Public Library,1.51,0.00,False,18494,18,6014 S Datura St,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_160.pdf
161,805,Bemis Public Library,1.40,Bemis Public Library,1.40,0.00,False,18494,18,6014 S Datura St,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_161.pdf
162,883,Bemis Public Library,1.75,Bemis Public Library,1.75,0.00,False,18494,18,6014 S Datura St,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_162.pdf
550,83,Central Recreation Center,0.60,Central Recreation Center,0.60,0.00,False,83,1,18150 E Vassar Pl,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_550.pdf
148,1043,Cherry Creek School District Instructional Support Facility,0.36,Cherry Creek School District Instructional Support Facility,0.36,0.00,False,16308,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_148.pdf
