X,Y,US_CONG,CO_SEN,CO_HSE,ARAP,COMM,COLO_PREC,PRECINCT,HYPERLINK,created_us,created_da,last_edite,last_edi_1,Voter_Coun,Voter_Co_1,Shape_Leng,Shape_Area
-104.860855648871,39.6858005858746,"6","29","41","03","0","6294103417","417",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_417.pdf,AC,2022/02/02,AC,2025/10/20,1102,2025/10/20,0.03650948592,0.00007246761
-104.747198828285,39.6424969321867,"4","28","40","03","0","4284003341","341",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_341.pdf,AC,2022/02/02,AC,2025/10/20,1872,2025/10/20,0.04451694212,0.00009781439
-104.824016196785,39.6857306489945,"6","29","41","03","0","6294103436","436",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_436.pdf,AC,2022/02/02,AC,2025/10/20,1475,2025/10/20,0.03365180967,0.00006891106
-104.870586999539,39.6856672152301,"6","29","41","03","0","6294103413","413",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_413.pdf,AC,2022/02/02,AC,2025/10/20,1090,2025/10/20,0.03333792901,0.00006779599
-104.842777566376,39.6855138245504,"6","29","41","03","0","6294103431","431",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_431.pdf,AC,2022/02/02,AC,2025/10/20,653,2025/10/20,0.03244605020,0.00006270889
-104.851530272515,39.6852304009936,"6","29","41","03","0","6294103418","418",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_418.pdf,AC,2022/02/02,AC,2025/10/20,963,2025/10/20,0.03121097058,0.00005831298
-104.879998580544,39.6856786785547,"6","26","09","03","0","6260903412","412",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_412.pdf,AC,2022/02/02,AC,2025/10/20,1605,2025/10/20,0.04316348135,0.00007691959
-104.786444407125,39.6838037557411,"6","29","41","03","0","6294103560","560",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_560.pdf,AC,2022/02/02,AC,2025/10/20,535,2025/10/20,0.02540034351,0.00003237025
-104.800441381538,39.6838836580276,"6","29","41","03","0","6294103564","564",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_564.pdf,AC,2022/02/02,AC,2025/10/20,813,2025/10/20,0.04502990343,0.00006838398
-104.814638967176,39.6803305653977,"6","29","41","03","0","6294103437","437",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_437.pdf,AC,2022/02/02,AC,2025/10/20,1529,2025/10/20,0.04232517709,0.00010601029
