Precinct,Voters,Nearest VSPC,Distance to Nearest VSPC (mi.),Assigned VSPC,Distance to Assigned VSPC (mi.),Distance Difference (mi.),Reassigned,Voters Assigned,Precincts Assigned,Address,City,State,Zip,Precinct Map URL
420,1553,Heather Gardens,1.51,Heather Gardens,1.51,0.00,False,21123,22,2888 S Heather Gardens Way,Aurora,CO,80014,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_420.pdf
421,534,Heather Gardens,1.38,Heather Gardens,1.38,0.00,False,21123,22,2888 S Heather Gardens Way,Aurora,CO,80014,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_421.pdf
422,693,Heather Gardens,1.11,Heather Gardens,1.11,0.00,False,21123,22,2888 S Heather Gardens Way,Aurora,CO,80014,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_422.pdf
423,1402,Heather Gardens,1.37,Heather Gardens,1.37,0.00,False,21123,22,2888 S Heather Gardens Way,Aurora,CO,80014,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_423.pdf
424,49,Heather Gardens,0.93,Heather Gardens,0.93,0.00,False,21123,22,2888 S Heather Gardens Way,Aurora,CO,80014,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_424.pdf
425,1478,Heather Gardens,0.63,Heather Gardens,0.63,0.00,False,21123,22,2888 S Heather Gardens Way,Aurora,CO,80014,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_425.pdf
426,766,Heather Gardens,0.27,Heather Gardens,0.27,0.00,False,21123,22,2888 S Heather Gardens Way,Aurora,CO,80014,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_426.pdf
427,1457,Heather Gardens,0.79,Heather Gardens,0.79,0.00,False,21123,22,2888 S Heather Gardens Way,Aurora,CO,80014,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_427.pdf
428,998,Heather Gardens,0.54,Heather Gardens,0.54,0.00,False,21123,22,2888 S Heather Gardens Way,Aurora,CO,80014,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_428.pdf
429,762,Heather Gardens,1.20,Heather Gardens,1.20,0.00,False,21123,22,2888 S Heather Gardens Way,Aurora,CO,80014,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_429.pdf
430,1019,Heather Gardens,1.04,Heather Gardens,1.04,0.00,False,21123,22,2888 S Heather Gardens Way,Aurora,CO,80014,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_430.pdf
431,647,The Avenue Church,0.92,The Avenue Church,0.92,0.00,False,18737,18,13231 E Mississippi Ave,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_431.pdf
432,1235,The Avenue Church,0.51,The Avenue Church,0.51,0.00,False,18737,18,13231 E Mississippi Ave,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_432.pdf
433,927,The Avenue Church,0.58,The Avenue Church,0.58,0.00,False,18737,18,13231 E Mississippi Ave,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_433.pdf
434,1107,The Avenue Church,0.68,The Avenue Church,0.68,0.00,False,18737,18,13231 E Mississippi Ave,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_434.pdf
435,1425,The Avenue Church,1.19,The Avenue Church,1.19,0.00,False,18737,18,13231 E Mississippi Ave,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_435.pdf
436,1396,The Avenue Church,1.02,The Avenue Church,1.02,0.00,False,18737,18,13231 E Mississippi Ave,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_436.pdf
437,1464,Heather Gardens,1.45,Heather Gardens,1.45,0.00,False,21123,22,2888 S Heather Gardens Way,Aurora,CO,80014,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_437.pdf
