Precinct,Voters,Voter Service Polling Center (VSPC),VSPC Total Voters,VSPC Precinct Count,Address,City,State,Zip,Distance From Precinct (mi.),Area Lead,District Captain (DC),Precinct Lead,Hand Counter 1,Hand Counter 2,Hand Counter 3,Hand Counter 4,Hand Counter 5,Hand Counter 6,Hand Counter 7,Hand Counter 8,Hand Counter 9,Hand Counter 10,Hand Counter 11,Hand Counter 12
225,973,Cherry Creek School District Instructional Support Facility,14779,16,5416 S Riviera Way,Centennial,CO,80112,9.61,,,,,,,,,,,,,,,
291,0,City of Aurora Municipal Center,19126,24,15151 E Alameda Pkwy,Aurora,CO,80012,5.04,,,,,,,,,,,,,,,
426,758,City of Aurora Municipal Center,19126,24,15151 E Alameda Pkwy,Aurora,CO,80012,3.22,,,,,,,,,,,,,,,
439,1003,City of Aurora Municipal Center,19126,24,15151 E Alameda Pkwy,Aurora,CO,80012,2.58,,,,,,,,,,,,,,,
440,851,City of Aurora Municipal Center,19126,24,15151 E Alameda Pkwy,Aurora,CO,80012,3.01,,,,,,,,,,,,,,,
441,846,City of Aurora Municipal Center,19126,24,15151 E Alameda Pkwy,Aurora,CO,80012,3.23,,,,,,,,,,,,,,,
442,738,City of Aurora Municipal Center,19126,24,15151 E Alameda Pkwy,Aurora,CO,80012,3.46,,,,,,,,,,,,,,,
443,551,City of Aurora Municipal Center,19126,24,15151 E Alameda Pkwy,Aurora,CO,80012,3.52,,,,,,,,,,,,,,,
444,679,City of Aurora Municipal Center,19126,24,15151 E Alameda Pkwy,Aurora,CO,80012,3.3,,,,,,,,,,,,,,,
445,701,City of Aurora Municipal Center,19126,24,15151 E Alameda Pkwy,Aurora,CO,80012,3.62,,,,,,,,,,,,,,,
446,816,City of Aurora Municipal Center,19126,24,15151 E Alameda Pkwy,Aurora,CO,80012,4.25,,,,,,,,,,,,,,,
453,573,City of Aurora Municipal Center,19126,24,15151 E Alameda Pkwy,Aurora,CO,80012,3.49,,,,,,,,,,,,,,,
461,1325,City of Aurora Municipal Center,19126,24,15151 E Alameda Pkwy,Aurora,CO,80012,4.77,,,,,,,,,,,,,,,
462,1215,City of Aurora Municipal Center,19126,24,15151 E Alameda Pkwy,Aurora,CO,80012,4.34,,,,,,,,,,,,,,,
463,1477,City of Aurora Municipal Center,19126,24,15151 E Alameda Pkwy,Aurora,CO,80012,4.48,,,,,,,,,,,,,,,
464,930,City of Aurora Municipal Center,19126,24,15151 E Alameda Pkwy,Aurora,CO,80012,4.08,,,,,,,,,,,,,,,
465,712,City of Aurora Municipal Center,19126,24,15151 E Alameda Pkwy,Aurora,CO,80012,3.75,,,,,,,,,,,,,,,
466,939,City of Aurora Municipal Center,19126,24,15151 E Alameda Pkwy,Aurora,CO,80012,3.67,,,,,,,,,,,,,,,
467,963,City of Aurora Municipal Center,19126,24,15151 E Alameda Pkwy,Aurora,CO,80012,3.21,,,,,,,,,,,,,,,
468,909,City of Aurora Municipal Center,19126,24,15151 E Alameda Pkwy,Aurora,CO,80012,3.24,,,,,,,,,,,,,,,
469,776,City of Aurora Municipal Center,19126,24,15151 E Alameda Pkwy,Aurora,CO,80012,2.69,,,,,,,,,,,,,,,
471,1107,City of Aurora Municipal Center,19126,24,15151 E Alameda Pkwy,Aurora,CO,80012,2.34,,,,,,,,,,,,,,,
540,725,City of Aurora Municipal Center,19126,24,15151 E Alameda Pkwy,Aurora,CO,80012,1.18,,,,,,,,,,,,,,,
560,532,City of Aurora Municipal Center,19126,24,15151 E Alameda Pkwy,Aurora,CO,80012,2.28,,,,,,,,,,,,,,,
564,0,City of Aurora Municipal Center,19126,24,15151 E Alameda Pkwy,Aurora,CO,80012,1.88,,,,,,,,,,,,,,,
101,1503,City of Sheridan Municipal Building,12436,11,4101 S Federal Blvd,Sheridan,CO,80110,0.55,,,,,,,,,,,,,,,
102,1326,City of Sheridan Municipal Building,12436,11,4101 S Federal Blvd,Sheridan,CO,80110,0.67,,,,,,,,,,,,,,,
103,795,City of Sheridan Municipal Building,12436,11,4101 S Federal Blvd,Sheridan,CO,80110,0.26,,,,,,,,,,,,,,,
104,813,City of Sheridan Municipal Building,12436,11,4101 S Federal Blvd,Sheridan,CO,80110,1.88,,,,,,,,,,,,,,,
105,1751,City of Sheridan Municipal Building,12436,11,4101 S Federal Blvd,Sheridan,CO,80110,2.22,,,,,,,,,,,,,,,
111,1362,City of Sheridan Municipal Building,12436,11,4101 S Federal Blvd,Sheridan,CO,80110,2.6,,,,,,,,,,,,,,,
116,1349,City of Sheridan Municipal Building,12436,11,4101 S Federal Blvd,Sheridan,CO,80110,1.68,,,,,,,,,,,,,,,
117,1413,City of Sheridan Municipal Building,12436,11,4101 S Federal Blvd,Sheridan,CO,80110,2.46,,,,,,,,,,,,,,,
122,838,City of Sheridan Municipal Building,12436,11,4101 S Federal Blvd,Sheridan,CO,80110,0.84,,,,,,,,,,,,,,,
135,388,City of Sheridan Municipal Building,12436,11,4101 S Federal Blvd,Sheridan,CO,80110,5.76,,,,,,,,,,,,,,,
136,898,City of Sheridan Municipal Building,12436,11,4101 S Federal Blvd,Sheridan,CO,80110,5.36,,,,,,,,,,,,,,,
416,1659,Community College of Aurora CentreTech Campus,12167,10,16000 E CentreTech Pkwy,Aurora,CO,80011,3.39,,,,,,,,,,,,,,,
423,1447,Community College of Aurora CentreTech Campus,12167,10,16000 E CentreTech Pkwy,Aurora,CO,80011,4.8,,,,,,,,,,,,,,,
424,40,Community College of Aurora CentreTech Campus,12167,10,16000 E CentreTech Pkwy,Aurora,CO,80011,4.86,,,,,,,,,,,,,,,
427,1549,Community College of Aurora CentreTech Campus,12167,10,16000 E CentreTech Pkwy,Aurora,CO,80011,3.93,,,,,,,,,,,,,,,
436,1517,Community College of Aurora CentreTech Campus,12167,10,16000 E CentreTech Pkwy,Aurora,CO,80011,2.6,,,,,,,,,,,,,,,
451,1264,Community College of Aurora CentreTech Campus,12167,10,16000 E CentreTech Pkwy,Aurora,CO,80011,3.42,,,,,,,,,,,,,,,
527,1172,Community College of Aurora CentreTech Campus,12167,10,16000 E CentreTech Pkwy,Aurora,CO,80011,1.59,,,,,,,,,,,,,,,
530,1129,Community College of Aurora CentreTech Campus,12167,10,16000 E CentreTech Pkwy,Aurora,CO,80011,1.27,,,,,,,,,,,,,,,
537,1202,Community College of Aurora CentreTech Campus,12167,10,16000 E CentreTech Pkwy,Aurora,CO,80011,2.02,,,,,,,,,,,,,,,
