Primary Captain District,Precinct,Voters,Nearest VSPC,Distance to Nearest VSPC (mi.),Assigned VSPC,Distance to Assigned VSPC (mi.),Distance Difference (mi.),Reassigned,Voters Assigned,Precincts Assigned,Address,City,State,Zip,Precinct Map URL
35,357,741,Arapahoe County Fairgrounds,7.41,Arapahoe County Fairgrounds,7.41,0.0,False,18968,15,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_357.pdf
18,358,2,Arapahoe County Fairgrounds,1.91,Arapahoe County Fairgrounds,1.91,0.0,False,18968,15,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_358.pdf
18,359,2,Vista PEAK,3.53,Vista PEAK,3.53,0.0,False,9026,6,24500 E. 6th Ave,Aurora,CO,80018,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_359.pdf
18,360,1540,Murphy Creek Golf Course,3.19,Murphy Creek Golf Course,3.19,0.0,False,14073,9,1700 S. Old Tom Morris Rd.,Aurora,CO,80018,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_360.pdf
18,361,1729,Vista PEAK,2.88,Vista PEAK,2.88,0.0,False,9026,6,24500 E. 6th Ave,Aurora,CO,80018,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_361.pdf
35,362,500,Vista PEAK,6.93,Vista PEAK,6.93,0.0,False,9026,6,24500 E. 6th Ave,Aurora,CO,80018,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_362.pdf
35,363,2034,Kelver Library,7.64,Kelver Library,7.64,0.0,False,4667,4,585 S Main St,Byers,CO,80103,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_363.pdf
35,364,1599,Kelver Library,2.89,Kelver Library,2.89,0.0,False,4667,4,585 S Main St,Byers,CO,80103,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_364.pdf
35,365,1034,Kelver Library,16.2,Kelver Library,16.2,0.0,False,4667,4,585 S Main St,Byers,CO,80103,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_365.pdf
35,366,492,Arapahoe County Fairgrounds,12.08,Arapahoe County Fairgrounds,12.08,0.0,False,18968,15,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_366.pdf
32,368,667,Tallyns Reach Library,1.24,Tallyns Reach Library,1.24,0.0,False,14891,13,23911 E Arapahoe Rd,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_368.pdf
28,369,2254,Cherry Creek School District Instructional Support Facility,1.04,Cherry Creek School District Instructional Support Facility,1.04,0.0,False,24654,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_369.pdf
28,370,1717,Cherry Creek School District Instructional Support Facility,0.74,Cherry Creek School District Instructional Support Facility,0.74,0.0,False,24654,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_370.pdf
17,371,1029,Central Recreation Center,1.28,Central Recreation Center,1.28,0.0,False,15868,19,18150 E Vassar Pl,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_371.pdf
35,372,952,Arapahoe County Fairgrounds,1.4,Arapahoe County Fairgrounds,1.4,0.0,False,18968,15,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_372.pdf
35,373,1274,Tallyns Reach Library,1.76,Tallyns Reach Library,1.76,0.0,False,14891,13,23911 E Arapahoe Rd,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_373.pdf
34,375,1559,Tallyns Reach Library,0.63,Arapahoe County Fairgrounds,3.78,3.16,True,18968,15,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_375.pdf
29,377,1193,Tallyns Reach Library,1.76,Tallyns Reach Library,1.76,0.0,False,14891,13,23911 E Arapahoe Rd,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_377.pdf
29,378,1957,Tallyns Reach Library,1.2,Arapahoe County Fairgrounds,2.34,1.14,True,18968,15,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_378.pdf
34,379,1061,Tallyns Reach Library,1.44,Tallyns Reach Library,1.44,0.0,False,14891,13,23911 E Arapahoe Rd,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_379.pdf
34,380,1098,Tallyns Reach Library,0.32,Tallyns Reach Library,0.32,0.0,False,14891,13,23911 E Arapahoe Rd,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_380.pdf
32,382,623,Cherry Creek School District Instructional Support Facility,0.32,Cherry Creek School District Instructional Support Facility,0.32,0.0,False,24654,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_382.pdf
29,383,1394,Tallyns Reach Library,1.27,Tallyns Reach Library,1.27,0.0,False,14891,13,23911 E Arapahoe Rd,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_383.pdf
35,384,1492,Tallyns Reach Library,2.31,Murphy Creek Golf Course,6.94,4.63,True,14073,9,1700 S. Old Tom Morris Rd.,Aurora,CO,80018,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_384.pdf
29,385,845,Arapahoe County Fairgrounds,1.05,Arapahoe County Fairgrounds,1.05,0.0,False,18968,15,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_385.pdf
27,386,994,Central Recreation Center,0.96,Central Recreation Center,0.96,0.0,False,15868,19,18150 E Vassar Pl,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_386.pdf
28,387,1319,Cherry Creek School District Instructional Support Facility,1.04,Cherry Creek School District Instructional Support Facility,1.04,0.0,False,24654,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_387.pdf
29,388,1401,Tallyns Reach Library,2.91,Tallyns Reach Library,2.91,0.0,False,14891,13,23911 E Arapahoe Rd,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_388.pdf
27,389,105,Central Recreation Center,1.7,Central Recreation Center,1.7,0.0,False,15868,19,18150 E Vassar Pl,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_389.pdf
20,401,1089,Cook Park Recreation Center,0.72,Cook Park Recreation Center,0.72,0.0,False,16862,20,7100 Cherry Creek S Dr,Denver,CO,80224,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_401.pdf
