Precinct_Lon,Precinct_Lat,US_CONG,CO_SEN,CO_HSE,ARAP,COMM,Precinct,PRECINCT,HYPERLINK,created_us,created_da,last_edite,last_edi_1,Voter_Coun,Voter_Co_1,Shape_Leng,Shape_Area,VSPC_Name,Address,City,State,ZIP,VSPC_Lat,VSPC_Lon,Area_Lead,Precinct_Lead,Hand_Counter_1,Hand_Counter_2,Hand_Counter_3,Hand_Counter_4,Hand_Counter_5,Hand_Counter_6,Hand_Counter_7,Hand_Counter_8,Hand_Counter_9,Hand_Counter_10,VSPC_Rebalanced
-104.8564765,39.73655409,6,28,42,3,0,6284203506,506,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_506.pdf,AC,2022/02/02,AC,2025/10/20,1828,2025/10/20,0.05198562842,0.0001369948,Aurora Center for Active Adults,30 Del Mar Cir,Aurora,CO,80011,39.7291,-104.864,,,,,,,,,,,,,Aurora Center for Active Adults
-104.8614732,39.72942141,6,28,42,3,0,6284203507,507,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_507.pdf,AC,2022/02/02,AC,2025/10/20,1035,2025/10/20,0.03615422681,0.00006309789,Aurora Center for Active Adults,30 Del Mar Cir,Aurora,CO,80011,39.7291,-104.864,,,,,,,,,,,,,Aurora Center for Active Adults
-104.852267,39.7290894,6,28,42,3,0,6284203508,508,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_508.pdf,AC,2022/02/02,AC,2025/10/20,794,2025/10/20,0.03601763753,0.00007321055,Aurora Center for Active Adults,30 Del Mar Cir,Aurora,CO,80011,39.7291,-104.864,,,,,,,,,,,,,Aurora Center for Active Adults
-104.8612949,39.72283153,6,28,42,3,0,6284203509,509,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_509.pdf,AC,2022/02/02,AC,2025/10/20,669,2025/10/20,0.02816524285,0.00004697696,Aurora Center for Active Adults,30 Del Mar Cir,Aurora,CO,80011,39.7291,-104.864,,,,,,,,,,,,,Aurora Center for Active Adults
-104.8528163,39.72248238,6,28,42,3,0,6284203510,510,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_510.pdf,AC,2022/02/02,AC,2025/10/20,704,2025/10/20,0.03277139258,0.00006041364,Aurora Center for Active Adults,30 Del Mar Cir,Aurora,CO,80011,39.7291,-104.864,,,,,,,,,,,,,Aurora Center for Active Adults
-104.8635582,39.71564632,6,28,42,3,0,6284203511,511,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_511.pdf,AC,2022/02/02,AC,2025/10/20,1076,2025/10/20,0.05536816388,0.00011320521,Aurora Center for Active Adults,30 Del Mar Cir,Aurora,CO,80011,39.7291,-104.864,,,,,,,,,,,,,Aurora Center for Active Adults
-104.854672,39.71275346,6,28,42,3,0,6284203513,513,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_513.pdf,AC,2022/02/02,AC,2025/10/20,1016,2025/10/20,0.03345952949,0.00004226774,Aurora Center for Active Adults,30 Del Mar Cir,Aurora,CO,80011,39.7291,-104.864,,,,,,,,,,,,,Aurora Center for Active Adults
-104.8604118,39.70749514,6,29,42,3,0,6294203514,514,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_514.pdf,AC,2022/02/02,AC,2025/10/20,733,2025/10/20,0.03674448198,0.00008048955,Aurora Center for Active Adults,30 Del Mar Cir,Aurora,CO,80011,39.7291,-104.864,,,,,,,,,,,,,Aurora Center for Active Adults
-104.8509918,39.70722029,6,29,42,3,0,6294203515,515,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_515.pdf,AC,2022/02/02,AC,2025/10/20,1108,2025/10/20,0.0306470864,0.00005931125,Aurora Center for Active Adults,30 Del Mar Cir,Aurora,CO,80011,39.7291,-104.864,,,,,,,,,,,,,Aurora Center for Active Adults
-104.8612592,39.70171413,6,29,42,3,0,6294203516,516,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_516.pdf,AC,2022/02/02,AC,2025/10/20,837,2025/10/20,0.04813889163,0.00006705565,Aurora Center for Active Adults,30 Del Mar Cir,Aurora,CO,80011,39.7291,-104.864,,,,,,,,,,,,,Aurora Center for Active Adults
